"","tipo_trabalho","afastado","afastado_prop","afastado_prop_se","afastado_total","afastado_total_se","mes"
"1","Empregado",1,0.199932744766342,0.00246277199703762,7862205.73485238,117331.140179998,"maio"
"2","Empregado",NA,0.800067255233658,0.00246277199703762,31462046.7483555,302525.268036271,"maio"
"3","Empregador",1,0.123403579061883,0.00732464411348546,336696.314691573,21196.0664375604,"maio"
"4","Empregador",NA,0.876596420938117,0.00732464411348546,2391719.80784837,72359.2201601263,"maio"
"5","Trabalhador por conta própria",1,0.250756854781511,0.00336375329564955,6145677.23210817,98392.4273167822,"maio"
"6","Trabalhador por conta própria",NA,0.749243145218489,0.00336375329564955,18362834.1601846,179906.54530298,"maio"
"7","Empregado",1,0.0778875144192039,0.00153165246642061,3049999.31960993,64696.6980633955,"agosto"
"8","Empregado",NA,0.922112485580796,0.00153165246642061,36109028.1876014,328594.371225401,"agosto"
"9","Empregador",1,0.0295472773151014,0.00409849889506016,77914.565264156,11067.6859098379,"agosto"
"10","Empregador",NA,0.970452722684899,0.00409849889506016,2559031.11447651,71368.8903170936,"agosto"
"11","Trabalhador por conta própria",1,0.054467258321023,0.00157083952204583,1254064.08298496,36967.3830460136,"agosto"
"12","Trabalhador por conta própria",NA,0.945532741678977,0.00157083952204583,21770118.1806727,193860.9298881,"agosto"
"13","Empregado",1,0.0481339224529163,0.0011798028978587,1953261.83997549,49757.0096767029,"novembro"
"14","Empregado",NA,0.951866077547084,0.0011798028978587,38626473.623847,354075.814963851,"novembro"
"15","Empregador",1,0.018632261550227,0.00268795654007346,48695.708440582,7081.79812986613,"novembro"
"16","Empregador",NA,0.981367738449773,0.00268795654007346,2564820.01048129,70355.1436060389,"novembro"
"17","Trabalhador por conta própria",1,0.0342924948617295,0.00122477803578896,819940.278927208,29941.1553704528,"novembro"
"18","Trabalhador por conta própria",NA,0.965707505138271,0.00122477803578896,23090255.880124,201017.479440872,"novembro"
