"","tipo_trabalho","apoio_posto","prop_escolaridade","prop_escolaridade_se","total_escolaridade","total_escolaridade_se","mes"
"1","Empregado",1,0.00872747941916383,0.000534257834366506,343201.604221199,21109.9011178238,"maio"
"2","Empregado",NA,0.991272520580836,0.000534257834366506,38981050.8789867,351405.301759888,"maio"
"3","Empregador",1,0.00218847968775796,0.000815985711440083,5971.08326393,2228.26442497105,"maio"
"4","Empregador",NA,0.997811520312242,0.000815985711440083,2722445.03927601,76874.4673395913,"maio"
"5","Trabalhador por conta própria",1,0.00800235532083642,0.00057166863838703,196125.816545894,14082.7645834838,"maio"
"6","Trabalhador por conta própria",NA,0.991997644679164,0.00057166863838703,24312385.5757469,212630.312237901,"maio"
"7","Empregado",1,0.00651598456038094,0.000403399851710596,255159.618636522,15920.3188491215,"agosto"
"8","Empregado",2,0.0104361235053664,0.000567917882223794,408668.447415298,22316.0582546232,"agosto"
"9","Empregado",9,0.0000797802895320798,0.000039604212891928,3124.11855232,1551.11522914178,"agosto"
"10","Empregado",NA,0.982968111644721,0.000709752266672388,38492075.3226072,344294.24476646,"agosto"
"11","Empregador",1,0.00236412966106685,0.000785268705342468,6234.081496097,2069.92362922025,"agosto"
"12","Empregador",2,0.0123715908144135,0.00332100250034413,32623.212949587,8904.01875931923,"agosto"
"13","Empregador",NA,0.98526427952452,0.00340776955320892,2598088.38529498,71541.5727625805,"agosto"
"14","Trabalhador por conta própria",1,0.00575641999575857,0.000504401128354295,132536.863168509,11641.2356008934,"agosto"
"15","Trabalhador por conta própria",2,0.00757517280784366,0.000787822155079208,174412.159406496,18331.429837387,"agosto"
"16","Trabalhador por conta própria",9,0.0000973478254560139,0.0000552000581710391,2241.35407627,1270.9210132501,"agosto"
"17","Trabalhador por conta própria",NA,0.986571059370942,0.000944317732027783,22714991.8870064,195847.670918412,"agosto"
"18","Empregado",1,0.00508665649782041,0.000422374501417288,206415.175076886,17301.8307037921,"novembro"
"19","Empregado",NA,0.99491334350218,0.000422374501417288,40373320.2887456,362824.985162529,"novembro"
"20","Empregador",1,0.00214546957594466,0.000680545390416535,5607.2184612,1775.33132029189,"novembro"
"21","Empregador",NA,0.997854530424055,0.000680545390416535,2607908.50046067,70952.8980569376,"novembro"
"22","Trabalhador por conta própria",1,0.00375312999418516,0.00033853651110039,89738.074371386,8097.43200793464,"novembro"
"23","Trabalhador por conta própria",NA,0.996246870005815,0.00033853651110039,23820458.0846798,204898.762796551,"novembro"
