"","tipo_trabalho","plano_saude","proportion","proportion_se","total","total_se","mes"
"1","Empregado",1,0.407481729422525,0.00410824303204167,16023914.4101056,231155.006762128,"maio"
"2","Empregado",2,0.59222564466486,0.00410839123167669,23288830.7778315,245306.317518538,"maio"
"3","Empregado",9,0.000292625912615473,0.0000714049371339475,11507.29527082,2807.94881529047,"maio"
"4","Empregador",1,0.589910218076636,0.0124571493399236,1609520.54985135,65418.6350068809,"maio"
"5","Empregador",2,0.409574397692783,0.0124513177921925,1117489.39004457,37557.3193516686,"maio"
"6","Empregador",9,0.000515384230580984,0.000400094579869026,1406.18264402,1091.41192298354,"maio"
"7","Trabalhador por conta própria",1,0.217045914643709,0.0037374277813174,5319472.27169594,104187.258729495,"maio"
"8","Trabalhador por conta própria",2,0.78263994437845,0.00373802705686924,19181339.9928626,187654.12456714,"maio"
"9","Trabalhador por conta própria",9,0.000314140977841851,0.0000898968776504625,7699.127734223,2203.66171595114,"maio"
"10","Empregado",1,0.36701909591102,0.00430909905324753,14372110.8724515,233504.607181737,"agosto"
"11","Empregado",2,0.628821977061592,0.00429852069373236,24624057.0968939,243249.102720664,"agosto"
"12","Empregado",9,0.00415892702738827,0.00053861949160288,162859.537865982,21163.4147136259,"agosto"
"13","Empregador",1,0.576865727763526,0.012062069411467,1521163.58861649,61904.0587242345,"agosto"
"14","Empregador",2,0.420012733000634,0.0120171566650858,1107550.76172209,34447.3787728515,"agosto"
"15","Empregador",9,0.00312153923584028,0.00111051106876227,8231.32940209,2926.87902531979,"agosto"
"16","Trabalhador por conta própria",1,0.201991769136994,0.00370231055976574,4650695.30836883,97581.4194630019,"agosto"
"17","Trabalhador por conta própria",2,0.794586407181215,0.00371187501161242,18294702.2631652,172519.32334325,"agosto"
"18","Trabalhador por conta própria",9,0.00342182368179021,0.000448425126805552,78784.692123638,10325.4384480452,"agosto"
"19","Empregado",1,0.372118665912602,0.00421578631820107,15100477.0238839,240676.008451453,"novembro"
"20","Empregado",2,0.627293731091692,0.00421304839401752,25455413.665815,253846.205542285,"novembro"
"21","Empregado",9,0.000587602995706515,0.000139057494770442,23844.77412352,5641.59503852755,"novembro"
"22","Empregador",1,0.586147731029103,0.0117116976277187,1531906.30865495,58458.3584540781,"novembro"
"23","Empregador",2,0.412644418939503,0.0117233496669927,1078452.67522377,35610.1869549974,"novembro"
"24","Empregador",9,0.00120785003139458,0.000646039617902145,3156.73504315,1690.79045297979,"novembro"
"25","Trabalhador por conta própria",1,0.20316474254112,0.00365156971768485,4857708.84676132,99261.5766070234,"novembro"
"26","Trabalhador por conta própria",2,0.796387957758538,0.00365228319741704,19041792.2887128,180010.787576027,"novembro"
"27","Trabalhador por conta própria",9,0.000447299700341914,0.000134206379414339,10695.02357706,3208.90961123131,"novembro"
