"","tipo_trabalho","sexo","proportion_sexo","proportion_sexo_se","total","total_se","mes"
"1","Empregado","Masculino",0.608806153362196,0.00245206234103314,23940846.8881456,231982.524096002,"maio"
"2","Empregado","Feminino",0.391193846637804,0.00245206234103314,15383405.5950623,171581.874520517,"maio"
"3","Empregador","Masculino",0.692390989919603,0.00759311774890468,1889130.73999803,54991.8570975297,"maio"
"4","Empregador","Feminino",0.307609010080397,0.00759311774890468,839285.382541906,33134.4718531546,"maio"
"5","Trabalhador por conta própria","Masculino",0.665197392203715,0.0028070920571117,16302997.8649482,154591.334478831,"maio"
"6","Trabalhador por conta própria","Feminino",0.334802607796285,0.0028070920571117,8205513.52734457,101805.785688325,"maio"
"7","Empregado","Masculino",0.61697678071747,0.00238442919214906,24160210.7274261,232798.803947632,"agosto"
"8","Empregado","Feminino",0.38302321928253,0.00238442919214906,14998816.7797852,163507.208387176,"agosto"
"9","Empregador","Masculino",0.697750680547481,0.00757112389872146,1839930.64260579,51837.8867032443,"agosto"
"10","Empregador","Feminino",0.302249319452519,0.00757112389872146,797015.037134877,31866.1657119147,"agosto"
"11","Trabalhador por conta própria","Masculino",0.695055955672038,0.00281911688037293,16003095.0068338,150952.837913036,"agosto"
"12","Trabalhador por conta própria","Feminino",0.304944044327962,0.00281911688037293,7021087.2568239,89946.9648964121,"agosto"
"13","Empregado","Masculino",0.617681210279273,0.00233826764739019,25065340.1141066,242888.820517066,"novembro"
"14","Empregado","Feminino",0.382318789720727,0.00233826764739019,15514395.3497159,170157.779313985,"novembro"
"15","Empregador","Masculino",0.698707442724715,0.00751350088373161,1826082.88448874,51787.1660675523,"novembro"
"16","Empregador","Feminino",0.301292557275285,0.00751350088373161,787432.834433127,30213.6324795194,"novembro"
"17","Trabalhador por conta própria","Masculino",0.689966201585039,0.00275911177939429,16497227.2230138,153702.593512785,"novembro"
"18","Trabalhador por conta própria","Feminino",0.310033798414961,0.00275911177939429,7412968.93603745,93493.94059874,"novembro"
