"","tipo_trabalho","teletrabalho","proportion","proportion_se","total","total_se","mes"
"1","Empregado",1,0.108606549063277,0.0025382157036683,4270871.3566942,108166.584940931,"maio"
"2","Empregado",2,0.0288112102436588,0.000984177213837133,1132979.30596843,39173.2052261851,"maio"
"3","Empregado",NA,0.862582240693064,0.00261892199077152,33920401.8205453,321245.869081585,"maio"
"4","Empregador",1,0.131723947974018,0.0095680369480234,359397.743376922,30289.26723866,"maio"
"5","Empregador",2,0.0203823447117209,0.00262571047423527,55611.517926626,7246.71143225733,"maio"
"6","Empregador",NA,0.847893707314261,0.00970337928838371,2313406.86123639,64447.7429972178,"maio"
"7","Trabalhador por conta própria",1,0.0521570674025412,0.00186728958218069,1278292.08062376,47518.7517235251,"maio"
"8","Trabalhador por conta própria",2,0.0579943730849261,0.00168943454121438,1421355.75344079,42993.7408983189,"maio"
"9","Trabalhador por conta própria",NA,0.889848559512533,0.00239131800752264,21808863.5582282,197967.592459588,"maio"
"10","Empregado",1,0.0957250836953271,0.00255026242721859,3748501.18555543,108425.655178273,"agosto"
"11","Empregado",2,0.0236422608880854,0.000928735325015832,925807.944449203,37468.5114519141,"agosto"
"12","Empregado",NA,0.880632655416588,0.00260695894218644,34484718.3772068,311972.28358759,"agosto"
"13","Empregador",1,0.0911837033069502,0.00673798945059725,240446.472498017,19327.7865514904,"agosto"
"14","Empregador",2,0.0201432917960881,0.00355845074224989,53116.76627745,9823.94716208806,"agosto"
"15","Empregador",NA,0.888673004896962,0.00711127215384299,2343382.4409652,64364.9453800241,"agosto"
"16","Trabalhador por conta própria",1,0.0540228800117534,0.00187429399917853,1243832.63579832,44851.5475261761,"agosto"
"17","Trabalhador por conta própria",2,0.0627090546516867,0.00175182208154254,1443824.70388211,42002.748996977,"agosto"
"18","Trabalhador por conta própria",NA,0.88326806533656,0.00242391262039952,20336524.9239773,183224.876298336,"agosto"
"19","Empregado",1,0.079563184136693,0.00235440173616649,3228652.9649264,102938.326265495,"novembro"
"20","Empregado",2,0.0237639713058388,0.000909902059127712,964335.669160808,37775.3029031412,"novembro"
"21","Empregado",NA,0.896672844557468,0.00247413773903768,36386746.8297353,332407.524929368,"novembro"
"22","Empregador",1,0.0694279721871527,0.0063870344554797,181451.096643994,17893.407436955,"novembro"
"23","Empregador",2,0.011348643832923,0.0019712177632598,29659.85904579,5164.48996749677,"novembro"
"24","Empregador",NA,0.919223383979924,0.00661562863416306,2402404.76323209,66092.1953543718,"novembro"
"25","Trabalhador por conta própria",1,0.0442959710772783,0.00175513889161489,1059125.35751338,43023.7095870552,"novembro"
"26","Trabalhador por conta própria",2,0.061874861700694,0.00179875146578649,1479440.08057776,44614.8151915928,"novembro"
"27","Trabalhador por conta própria",NA,0.893829167222028,0.00240054191436928,21371630.7209601,192527.564691067,"novembro"
