"","tipo_trabalho","teste","proportion","proportion_se","total","total_se","mes"
"1","Empregado",1,0.148192164163421,0.00243279636927627,5803061.03282858,107619.348937408,"agosto"
"2","Empregado",2,0.847517872871861,0.00246671609512966,33187975.6966425,311178.382044118,"agosto"
"3","Empregado",9,0.00428996296471807,0.000532731421571241,167990.777740313,20921.7474528041,"agosto"
"4","Empregador",1,0.161145151549127,0.00778992449165608,424931.011188625,23228.7335766746,"agosto"
"5","Empregador",2,0.835212439789374,0.00782745817562576,2202409.83476825,65129.3812742649,"agosto"
"6","Empregador",9,0.00364240866149909,0.00128559571483143,9604.83378379,3402.01315365599,"agosto"
"7","Trabalhador por conta própria",1,0.0793190998948041,0.00201749225262786,1826257.41296724,49888.1327701592,"agosto"
"8","Trabalhador por conta própria",2,0.916905347338615,0.00206337628722954,21110995.8356466,185913.762380511,"agosto"
"9","Trabalhador por conta própria",9,0.003775552766581,0.000484893027236834,86929.015043818,11169.0883105577,"agosto"
"10","Empregado",1,0.221409746096261,0.00278507874828564,8984748.92569838,138468.087881458,"novembro"
"11","Empregado",2,0.778239708155644,0.00278778814659997,31580761.4843984,306467.350142608,"novembro"
"12","Empregado",9,0.00035054574809493,0.0000984540599527328,14225.05372566,3993.84515210893,"novembro"
"13","Empregador",1,0.264401625149966,0.010768883787738,691017.803437925,37255.905682422,"novembro"
"14","Empregador",2,0.733747175142582,0.0107656125010334,1917659.77594966,53176.3073149623,"novembro"
"15","Empregador",9,0.00185119970745224,0.000816939859258771,4838.13953429,2138.51691989761,"novembro"
"16","Trabalhador por conta própria",1,0.13012219100008,0.00255725843964355,3111247.11145744,68020.4747720345,"novembro"
"17","Trabalhador por conta própria",2,0.869647993480322,0.00255743596440534,20793454.1134398,185484.175142535,"novembro"
"18","Trabalhador por conta própria",9,0.000229815519597479,0.0000891574352744063,5494.93415397,2131.8626130802,"novembro"
