"","tipo_trabalho","trabalho","horas","mes"
"1","Empregado","horas_trabalhava",41.3209981707009,"maio"
"2","Empregador","horas_trabalhava",45.8914729031194,"maio"
"3","Trabalhador por conta própria","horas_trabalhava",38.580782183033,"maio"
"4","Empregado","horas_trabalhou",30.6817687496268,"maio"
"5","Empregador","horas_trabalhou",34.6207170220933,"maio"
"6","Trabalhador por conta própria","horas_trabalhou",23.756526634023,"maio"
"7","Empregado","horas_trabalhava",41.5666303594874,"agosto"
"8","Empregador","horas_trabalhava",45.6597741481184,"agosto"
"9","Trabalhador por conta própria","horas_trabalhava",39.4032472877894,"agosto"
"10","Empregado","horas_trabalhou",36.6959280264377,"agosto"
"11","Empregador","horas_trabalhou",40.4843155974058,"agosto"
"12","Trabalhador por conta própria","horas_trabalhou",32.6052825893431,"agosto"
"13","Empregado","horas_trabalhava",41.5218373717861,"novembro"
"14","Empregador","horas_trabalhava",45.9139876886068,"novembro"
"15","Trabalhador por conta própria","horas_trabalhava",39.2260172236019,"novembro"
"16","Empregado","horas_trabalhou",38.4730760457746,"novembro"
"17","Empregador","horas_trabalhou",42.8715140837421,"novembro"
"18","Trabalhador por conta própria","horas_trabalhou",34.7871879739173,"novembro"
